model_key,model_name,run_id,run_name,model_uri,accuracy,precision_macro,recall_macro,f1_macro,cv_f1_macro,cv_f1_std,train_time_seconds
XGB,XGBoost,d162ccfbf98944f89423e1527743bc0e,xgb__landmarks63_plus_engineered__stratified_80_20__seed42__hagrid_landmarks_v1,runs:/d162ccfbf98944f89423e1527743bc0e/model,0.9865628042843233,0.9863682577601762,0.9861743183459305,0.9862439206203862,0.9857406002688162,0.0009357536333780441,2015.32839179039
SVM,SVM (RBF),61a4c50e801d49e7881bcb61e9c6fe8b,svm__landmarks63_plus_engineered__stratified_80_20__seed42__hagrid_landmarks_v1,runs:/61a4c50e801d49e7881bcb61e9c6fe8b/model,0.9851996105160662,0.9847410441808042,0.9848594585819812,0.98477059648616,0.9802134424464152,0.0013088618971288726,979.5805101394653
RF,Random Forest,e78c43bb67da4e609f6f348a5976df35,rf__landmarks63_plus_engineered__stratified_80_20__seed42__hagrid_landmarks_v1,runs:/e78c43bb67da4e609f6f348a5976df35/model,0.9851996105160662,0.98476110941946,0.9846717957586549,0.9846917489400732,0.9842456915704287,0.0008746122747704073,6194.298133611679
KNN,K-Nearest Neighbors,1e02f5da16c54d60b262653adb5d2572,knn__landmarks63_plus_engineered__stratified_80_20__seed42__hagrid_landmarks_v1,runs:/1e02f5da16c54d60b262653adb5d2572/model,0.9752677702044791,0.9750113113112521,0.9750600632572257,0.9748615698144286,0.9702171687807196,0.0016683670811916379,29.033114194869995
