model_name,accuracy,f1_macro,precision_macro,recall_macro
XGBoost,0.9865628042843233,0.9862439206203862,0.9863682577601762,0.9861743183459305
SVM (RBF),0.9851996105160662,0.98477059648616,0.9847410441808042,0.9848594585819812
Random Forest,0.9851996105160662,0.9846917489400732,0.98476110941946,0.9846717957586549
K-Nearest Neighbors,0.9752677702044791,0.9748615698144286,0.9750113113112521,0.9750600632572257
